nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Guanajuato,Uriangato,Fraccionamiento,Camelinas,38982
Guanajuato,Uriangato,Fraccionamiento,Privada Residencial Real del Monte,38984
Guanajuato,Uriangato,Fraccionamiento,San Antonio,38984
Chiapas,Simojovel,Colonia,Tierra Blanca Tepeyac,29826
Veracruz de Ignacio de la Llave,Nogales,Colonia,Ojo Zarco,94723
Veracruz de Ignacio de la Llave,Nogales,Colonia,San Isidro,94723
Guanajuato,Uriangato,Fraccionamiento,Loma Grande,38984
Chiapas,Simojovel,Colonia,Gracias a Dios,29826
Veracruz de Ignacio de la Llave,Nogales,Colonia,Nueva Rosita,94723
Guanajuato,Cortazar,Fraccionamiento,Lomas del Peral,38358
Veracruz de Ignacio de la Llave,Nogales,Colonia,Arboledas,94724
Veracruz de Ignacio de la Llave,Nogales,Colonia,Provincia,94724
Veracruz de Ignacio de la Llave,Saltabarranca,Colonia,El Aguacatillo,95486
Guanajuato,Cortazar,Fraccionamiento,El Parque,38343
Chiapas,Simojovel,Colonia,Guadalupe Victoria,29825
Guanajuato,Cortazar,Fraccionamiento,Rinconada Ignacio Flores Quintana,38310
Chiapas,Simojovel,Ejido,Guadalupe Victoria II,29825
Veracruz de Ignacio de la Llave,Saltabarranca,Colonia,El Zapote,95480
Veracruz de Ignacio de la Llave,Saltabarranca,Colonia,Las Malvinas,95480
Guanajuato,Cortazar,Fraccionamiento,Residencial Los Huertos,38335
Veracruz de Ignacio de la Llave,Coatzacoalcos,Fraccionamiento,Ciudad Olmeca,96535
Guanajuato,Cortazar,Colonia,San Carlos,38337
Chiapas,Simojovel,Colonia,Buena Vista,29826
Guanajuato,Cortazar,Colonia,Los ?ngeles,38322
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Empleados Municipales,96535
Chiapas,Simojovel,Colonia,Francisco Villa,29826
Guanajuato,Cortazar,Fraccionamiento,Campestre Los Pinos,38325
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,El Manantial,96535
Chiapas,Simojovel,Colonia,Carmen Buena Vista,29826
Veracruz de Ignacio de la Llave,Coatzacoalcos,Fraccionamiento,Punta Del Mar,96536
Chiapas,Simojovel,Colonia,Guadalupe Buena Vista,29826
Veracruz de Ignacio de la Llave,Coatzacoalcos,Fraccionamiento,Santa Maria,96536
Guanajuato,Cortazar,Colonia,Colonia los Reyes,38495
Veracruz de Ignacio de la Llave,Coatzacoalcos,Fraccionamiento,Jardines de California,96536
Chiapas,Simojovel,Pueblo,Poblado la Libertad,29826
Guanajuato,Cortazar,Colonia,Del Bosque,38324
Veracruz de Ignacio de la Llave,Coatzacoalcos,Fraccionamiento,La Victoria,96536
Hidalgo,Singuilucan,Exhacienda,Mirasoles,43782
Chiapas,Simojovel,Pueblo,Miramar,29826
Guanajuato,Cortazar,Fraccionamiento,Villas del Pedregal,38375
Hidalgo,Singuilucan,Fraccionamiento,Las Fuentes,43788
Oaxaca,Santiago Ixtayutla,Pueblo,Pueblo Viejo,71733
Hidalgo,Singuilucan,Hacienda,Alfajayucan,43793
Guanajuato,Cortazar,Fraccionamiento,Fraccionamiento Praderas del Laja,38496
Guanajuato,Romita,Fraccionamiento,Haciendas de Romita,36204
Guanajuato,Romita,Fraccionamiento,Valle Verde,36204
Guanajuato,Romita,Fraccionamiento,Santa Cruz,36205
Chiapas,Simojovel,Colonia,Porvenir Chanalucum,29826
Guanajuato,Romita,Fraccionamiento,Bosques de San Rafael I,36205
Chiapas,Simojovel,Ejido,Calvario el Roblar,29836
Guanajuato,Romita,Fraccionamiento,Villa Patricia,36205
Veracruz de Ignacio de la Llave,Cosoleacaque,Colonia,Esfera Del Pantano,96348
Chiapas,Simojovel,Ejido,El Porvenir,29836
Guanajuato,Romita,Colonia,Los Arcos,36205
Chiapas,Simojovel,Colonia,San Francisco el Portugal,29836
Jalisco,Zapopan,Fraccionamiento,La Cima,45134
Jalisco,Chapala,Colonia,Las Redes,45903
Chiapas,Simojovel,Colonia,20 de Noviembre,29836
Jalisco,Chapala,Colonia,San Juditas Tadeo,45903
Chiapas,Simojovel,Colonia,Jochompat las Limas,29836
Guanajuato,Romita,Fraccionamiento,Privada de Reyes,36206
Chihuahua,Guadalupe y Calvo,Pueblo,Sitanachi,33484
Veracruz de Ignacio de la Llave,Cosoleacaque,Colonia,Jardines del Bosque,96349
Chiapas,Simojovel,Colonia,San Isidro el Llano,29836
Guanajuato,Romita,Fraccionamiento,Bosques de San Rafael II,36207
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,Colonia,Santa Rosita,94744
Chiapas,Simojovel,Ejido,Natividad Pechual,29835
Chiapas,Simojovel,Colonia,3 Casas,29823
Guanajuato,Romita,Colonia,La Paz de Dios,36203
Guanajuato,Romita,Colonia,Real del Bosque,36203
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,Colonia,Central Obrera,94745
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,Colonia,El Bosque,94743
Chiapas,Simojovel,Colonia,San Francisco las Pilas,29823
Chiapas,Simojovel,Colonia,Ocotal,29835
Jalisco,San Pedro Tlaquepaque,Fraccionamiento,El Sereno,45602
Guanajuato,Silao de la Victoria,Fraccionamiento,Fraccionamiento Villa de las Flores,36298
Chiapas,Simojovel,Ejido,El Amparo,29835
Chiapas,El Bosque,Colonia,San Francisco Conho,29848
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,Fraccionamiento,Los Sauces,94744
Guanajuato,Silao de la Victoria,Fraccionamiento,Fraccionamiento Lourdes,36294
Guanajuato,Silao de la Victoria,Fraccionamiento,Los Pinabetes,36156
Chiapas,Simojovel,Ejido,San Antonio el Naranjal,29835
Jalisco,Tuxpan,Fraccionamiento,Vistas de la Floresta,49817
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,El Recreo,95110
Guanajuato,Silao de la Victoria,Fraccionamiento,Condado de La Pila,36172
Jalisco,Quitupan,Poblado comunal,El Fresnal (Fresnal Grande),49574
Chiapas,Simojovel,Colonia,El Horizonte,29835
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Las Colmenas,95160
Guanajuato,Silao de la Victoria,Fraccionamiento,La Curva,36132
Chiapas,Simojovel,Ejido,Sal Si Puedes,29835
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,La Arenera,95160
Chiapas,Simojovel,Colonia,El Pencil,29837
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Lomas de Tierra Blanca,95118
Jalisco,Zapotiltic,Colonia,Servicio Nuevo Morelos,49610
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Rancho Grande,95130
Guanajuato,Silao de la Victoria,Fraccionamiento,Ex Hacienda de Franco,36126
Jalisco,Guadalajara,Colonia,Independencia,44290
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,20 de Junio,95193
Chiapas,Simojovel,Colonia,Los Arrayanes,29837
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Los Chilangos,95119
Jalisco,Zapopan,Fraccionamiento,"Tierra, Aire y Fuego",45200
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,San Rosendo,95190
Chiapas,Simojovel,Ejido,Francisco Villa,29837
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Lomas de Sotelo,95150
Chiapas,Simojovel,Colonia,Porvenir Vinote,29833
Jalisco,Tamazula de Gordiano,Colonia,El Crucero,49654
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Lomas de Guadalupe,95180
Jalisco,Zapopan,Fraccionamiento,Palermo,45200
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,12 de Noviembre,95160
Sonora,Cajeme,Ejido,Juan Salvador Esquer,85209
Chiapas,Simojovel,Colonia,Barbara Zapata (Anexo A. Castillo),29833
Jalisco,Zapopan,Fraccionamiento,Lago Real,45200
Veracruz de Ignacio de la Llave,Tierra Blanca,Colonia,Las Prietas,95120
Chiapas,Simojovel,Colonia,Frontera (Anexo A. Vinote,29833
Chiapas,Simojovel,Colonia,La Ceibita,29833
Jalisco,Zapopan,Fraccionamiento,Mirador del Bosque,45200
Veracruz de Ignacio de la Llave,Isla,Colonia,Victor M Aguirre,95648
Chiapas,Simojovel,Ejido,El Tepeyac,29833
Jalisco,Zapopan,Fraccionamiento,Valle de los Molinos,45200
Veracruz de Ignacio de la Llave,Isla,Colonia,Obrera,95648
Jalisco,Zapopan,Fraccionamiento,Residencial Albaterra,45200
Veracruz de Ignacio de la Llave,Isla,Colonia,Luis Donaldo Colosio,95646
Chiapas,Simojovel,Colonia,Carmen Guadalupe Belmonte,29833
Jalisco,Zapopan,Fraccionamiento,Sendas del Valle,45200
Veracruz de Ignacio de la Llave,Isla,Colonia,Agropista,95647
Chiapas,Simojovel,Colonia,Guadalupe el Puntito,29836
Jalisco,Zapopan,Fraccionamiento,Residencial Amaranto,45200
Chiapas,Simojovel,Ejido,Mercedes la Esperanza,29834
Jalisco,Cabo Corrientes,Colonia,La Hermita,48400
Veracruz de Ignacio de la Llave,Isla,Colonia,La Luz,95645
Chiapas,Simojovel,Ejido,El Chapayal,29834
Jalisco,Lagos de Moreno,Fraccionamiento,La Palma,47410
Chiapas,Simojovel,Colonia,Puyucum,29834
Chiapas,Simojovel,Colonia,Nuevo Israelita,29834
Jalisco,Mascota,Colonia,Villas del Molino,46900
Chiapas,Simojovel,Ejido,El Puyucum,29834
Jalisco,Mascota,Poblado comunal,Sol de Oro,46954
Chiapas,Simojovel,Colonia,Pauchil los Cacos,29826
Jalisco,Lagos de Moreno,Poblado comunal,Chipinque de Abajo,47515
Chiapas,Simojovel,Colonia,El Vergel,29824
Chiapas,Simojovel,Ejido,Yuquin,29824
Jalisco,Lagos de Moreno,Fraccionamiento,Cristeros,47476
Chiapas,Simojovel,Colonia,Nuevo Horizonte,29823
Guanajuato,Irapuato,Colonia,Residencial Toscana,36614
Jalisco,Lagos de Moreno,Colonia,Las Capuchinas,47440
Chiapas,Simojovel,Colonia,Campo la Granja,29823
Guanajuato,Irapuato,Colonia,Ex Hacienda Las ?nimas,36587
Guanajuato,Irapuato,Colonia,Quintas Libertad,36625
Jalisco,Lagos de Moreno,Poblado comunal,La Punta,47505
Chiapas,Simojovel,Colonia,Los Positos,29824
Jalisco,Lagos de Moreno,Hacienda,Los Jacales,47472
Guanajuato,Irapuato,Fraccionamiento,Las Brisas,36680
Chihuahua,Guadalupe y Calvo,Pueblo,El Manzano,33488
Jalisco,Lagos de Moreno,Fraccionamiento,Geovillas Laureles del Campanario,47530
Chiapas,Simojovel,Ejido,Carmito Buena Vista,29823
Jalisco,Lagos de Moreno,Colonia,Villa Esmeralda,47472
Chiapas,Simojovel,Colonia,Monte Cristo,29823
Guanajuato,Salamanca,Fraccionamiento,Villa San Pedro,36724
Chiapas,Simojovel,Colonia,Santa Anita,29824
Jalisco,Zapopan,Fraccionamiento,Villa Panamericana,45014
Jalisco,Puerto Vallarta,Colonia,Balcones Vallarta,48290
Chiapas,Simojovel,Ejido,Mercedes Isidoro,29824
Chiapas,Simojovel,Ejido,Virginia,29824
Chiapas,Simojovel,Ejido,Guadalupe Victoria I,29824
Jalisco,La Barca,Fraccionamiento,Los Arrayanes,47913
Chiapas,Simojovel,Colonia,El Sabinal,29824
Chiapas,Simojovel,Ejido,Ejido las Limas,29824
Chiapas,Simojovel,Colonia,Monte Tobor,29836
Chiapas,Simojovel,Colonia,Juan Sabinas,29837
Chiapas,Simojovel,Ejido,Carmen las Limas,29824
Chiapas,Simojovel,Pueblo,Linda Vista,29820
Jalisco,Mazamitla,Poblado comunal,El Paiztle,49537
Chiapas,Simojovel,Barrio,Santa Clara,29820
Hidalgo,Tasquillo,Colonia,La Cruz,42380
Jalisco,Mazamitla,Poblado comunal,El Humo (El Marillo),49537
Chiapas,Simojovel,Barrio,Reforma,29820
Guanajuato,Salamanca,Colonia,Villa Bonita,36720
Hidalgo,Tasquillo,Colonia,El Cerrito,42380
Chiapas,Simojovel,Barrio,San Fernando,29820
Jalisco,Tuxpan,Fraccionamiento,Arcos Bugambilias,49807
Durango,Pueblo Nuevo,Colonia,Deportiva,34955
Hidalgo,Tasquillo,Colonia,Nuevo Porvenir,42380
Chiapas,Simojovel,Barrio,Platanal,29820
Durango,Pueblo Nuevo,Colonia,Estadio,34955
Hidalgo,Tasquillo,Colonia,El Calvario,42380
Jalisco,Zapopan,Fraccionamiento,Viveros del Valle,45138
Durango,Pueblo Nuevo,Colonia,Industrial,34955
Chiapas,Simojovel,Barrio,Amate,29820
Guanajuato,Irapuato,Ejido,Tamahula,36806
Durango,Pueblo Nuevo,Colonia,La Amistad,34955
Guanajuato,Irapuato,Colonia,Rinconada de La Hacienda,36557
Durango,Pueblo Nuevo,Colonia,Los Pinos,34955
Jalisco,Quitupan,Poblado comunal,El Fiscalejo,49597
Chiapas,Simojovel,Barrio,Santa Cruz,29820
Durango,Pueblo Nuevo,Colonia,Rinconcito,34955
Chiapas,Simojovel,Barrio,El Zapote,29820
Jalisco,Zapopan,Fraccionamiento,Bosques del Centinela III,45187
Durango,Santiago Papasquiaro,Colonia,Altavista,34634
Jalisco,Ojuelos de Jalisco,Poblado comunal,Morenitos,47545
Chiapas,Simojovel,Barrio,San Pedro,29820
Durango,Santiago Papasquiaro,Colonia,La Estrella,34645
Guanajuato,Silao de la Victoria,Parque industrial,Santa Fe de Guadalupe,36275
Jalisco,El Salto,Colonia,El Muelle,45683
Durango,Santiago Papasquiaro,Colonia,Noria I,34645
Jalisco,Puerto Vallarta,Fraccionamiento,Villas del Mar,48315
Chiapas,Simojovel,Barrio,Altamirano,29820
Durango,Santiago Papasquiaro,Colonia,Providencia,34640
Jalisco,Lagos de Moreno,Poblado comunal,San Isidro de Arriba,47515
Durango,Santiago Papasquiaro,Colonia,Real Campestre,34647
Chiapas,Simojovel,Barrio,Granjas,29820
Durango,Santiago Papasquiaro,Colonia,Real de Santiago,34645
Chiapas,Simojovel,Barrio,Sharpes,29820
Jalisco,Zapopan,Fraccionamiento,Valle Imperial,45134
Durango,Guadalupe Victoria,Colonia,Ejidal,34706
Chiapas,Simojovel,Barrio,Cielito,29820
Veracruz de Ignacio de la Llave,Agua Dulce,Colonia,18 de Marzo,96684
Durango,Guadalupe Victoria,Colonia,El Hormiguero,34707
Chiapas,Simojovel,Barrio,El Ambar,29820
Veracruz de Ignacio de la Llave,Agua Dulce,Colonia,La Portada,96690
Durango,Guadalupe Victoria,Colonia,INFONAVIT,34704
Chiapas,Simojovel,Barrio,Nueva Primavera,29820
Veracruz de Ignacio de la Llave,Agua Dulce,Colonia,Uno y Medio,96640
Durango,Guadalupe Victoria,Colonia,Isidro de Flores,34703
Guanajuato,Silao de la Victoria,Fraccionamiento,Valle de Las Huertas,36126
Hidalgo,Tecozautla,Colonia,Morelos 6ta. Manzana,42443
Guanajuato,Pueblo Nuevo,Colonia,Manuel J. Clouthier,36890
Veracruz de Ignacio de la Llave,Cosoleacaque,Colonia,Infonavit Paquital,96344
Hidalgo,Tecozautla,Colonia,Las Cruces,42444
Chiapas,Simojovel,Barrio,La Planada,29820
Jalisco,Zapopan,Fraccionamiento,Oyamel,45066
Durango,Guadalupe Victoria,Colonia,La Noria,34703
Hidalgo,Tecozautla,Colonia,Santiago Apostol,42444
Chiapas,Simojovel,Colonia,Primavera,29820
Durango,Guadalupe Victoria,Colonia,Las Culecas,34704
Chiapas,Bella Vista,Colonia,Las Chicharras,30134
Hidalgo,Tecozautla,Colonia,La Cruz,42444
Jalisco,Zapopan,Fraccionamiento,Villa Palmas,45169
Durango,Guadalupe Victoria,Colonia,Las Flores,34705
Chiapas,Bella Vista,Barrio,Caballete,30134
Guanajuato,Doctor Mora,Poblado comunal,La Fortuna,37967
Hidalgo,Tecozautla,Colonia,La Metralla,42444
Jalisco,Zapopan,Residencial,Haciendas Guadalupe,45036
Durango,Guadalupe Victoria,Colonia,Loma Verde,34703
Chiapas,Bella Vista,Ejido,Caballo Blanco,30134
Veracruz de Ignacio de la Llave,Cosoleacaque,Colonia,Jardines de las Flores 2000,96344
Hidalgo,Tecozautla,Colonia,Hidalgo Sur 6ta. Manzana,42443
Durango,Guadalupe Victoria,Colonia,Mi Ranchito,34704
Chiapas,Bella Vista,Barrio,Minerva,30137
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Fraccionamiento,Los Olivos,37803
Hidalgo,Tecozautla,Colonia,Hidalgo Norte 6ta. Manzana,42443
Durango,Guadalupe Victoria,Fraccionamiento,5a. Santa Elena,34704
Chiapas,Bella Vista,Barrio,Sabinalito,30136
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Poblado comunal,El Saucito,37817
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,El Faro,96380
Hidalgo,Tecozautla,Colonia,Los Carrizos,42443
Durango,Guadalupe Victoria,Colonia,Villas del Sur,34705
Chiapas,Bella Vista,Barrio,La Laguna,30136
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Poblado comunal,Las Escobas,37817
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,El Olvido,96380
Hidalgo,Tecozautla,Colonia,La Divina Providencia,42443
Jalisco,El Salto,Colonia,El Pedregal,45680
Chiapas,Bella Vista,Barrio,Cueva del Arco,30135
Guanajuato,Irapuato,Poblado comunal,El Cerrito de las Huertas,36830
Hidalgo,Tecozautla,Colonia,El Calvario,42443
Durango,Guadalupe Victoria,Fraccionamiento,Bicentenario,34707
Chiapas,Bella Vista,Barrio,San Juan Progreso,30135
Guanajuato,Irapuato,Poblado comunal,Alfredo V. Bonfil,36820
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Escolleras,96380
Hidalgo,Tecozautla,Colonia,Los Arcos,42444
Jalisco,Tala,Fraccionamiento,Puerta Grande,45308
Chiapas,Bella Vista,Barrio,Monte Flores,30135
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,FONHAPO,96380
Hidalgo,Tecozautla,Colonia,Progreso,42444
Chiapas,Bella Vista,Barrio,20 de Noviembre,30135
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Guillermo Prieto,96380
Hidalgo,Tecozautla,Colonia,Hidalgo Sur,42440
Jalisco,San Pedro Tlaquepaque,Colonia,Valle del Sur,45601
Chiapas,Bella Vista,Barrio,Los Lagos,30136
Sonora,Cajeme,Ejido,La Huerta,85203
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Libertad,96380
Jalisco,Lagos de Moreno,Colonia,Jardines de la Ladera,47410
Chiapas,Bella Vista,Barrio,Las Nubes,30136
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Vicente Lombardo Toledano,96380
Hidalgo,Tecozautla,Colonia,Morelos Centro,42440
Chiapas,Escuintla,Colonia,8 de Agosto,30616
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Miramar,96380
Hidalgo,Tecozautla,Colonia,Vicente Guerrero,42443
Chiapas,Escuintla,Colonia,Zacualpa II (El Vergel),30616
Guanajuato,Santa Cruz de Juventino Rosas,Colonia,12 de Octubre,38243
Hidalgo,Tecozautla,Colonia,Los Moros,42443
Guanajuato,Santa Cruz de Juventino Rosas,Colonia,El Puente,38243
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,PEMEX,96380
Hidalgo,Tecozautla,Barrio,La Cochera,42462
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Pensiones Del Estado,96530
Chiapas,Escuintla,Colonia,Grijalva,30616
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Pescadores,96380
Jalisco,Zapopan,Fraccionamiento,Arrayanes,45066
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Villas del Mar,96380
Oaxaca,Santos Reyes Nopala,Barrio,Candelaria Loma Bonita,71960
Chiapas,Escuintla,Colonia,La Pampita,30617
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Solidaridad,96535
Oaxaca,Santos Reyes Nopala,Barrio,La Toma,71960
Chiapas,Escuintla,Colonia,Canutillo,30617
Hidalgo,Tecozautla,Pueblo,El Crucero,42460
Oaxaca,Santos Reyes Nopala,Barrio,El Mirador,71960
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Los Almendros,96536
Guanajuato,Valle de Santiago,Granja,Rojas,38456
Oaxaca,Santos Reyes Nopala,Barrio,21 de Marzo,71960
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Cangrejera,96384
Oaxaca,Santos Reyes Nopala,Barrio,Agua Blanca,71960
Veracruz de Ignacio de la Llave,Coatzacoalcos,Colonia,Brisas Del Golfo,96536
Jalisco,Zapopan,Colonia,Ciudad Judicial Federal,45012
Oaxaca,Santos Reyes Nopala,Barrio,La Soledad,71960
Chiapas,Escuintla,Colonia,Brisas del Soconusco,30603
Jalisco,Zacoalco de Torres,Unidad habitacional,"Centro Logistico Jalisco, Area Habitacional",45777
Oaxaca,Santos Reyes Nopala,Barrio,La Guadalupe,71960
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Poblado comunal,Cerrito de Guadalupe 2,37814
Sonora,Cajeme,Ejido,La Loma,85218
Oaxaca,Santos Reyes Nopala,Barrio,Los Remedios,71960
Guanajuato,San Felipe,Fraccionamiento,Ojos Zarcos,37600
Chiapas,Escuintla,Ejido,Nuevo Llano Grande,30615
Veracruz de Ignacio de la Llave,Orizaba,Unidad habitacional,CANACINTRA,94340
Oaxaca,Santos Reyes Nopala,Barrio,Santa Catarina,71960
Oaxaca,Santos Reyes Nopala,Barrio,La Ladrillera,71960
Sonora,Cajeme,Ejido,La Marmolera,85203
Chiapas,Escuintla,Colonia,Nueva California,30603
Chiapas,Escuintla,Colonia,El Encuentro,30604
Guanajuato,Silao de la Victoria,Fraccionamiento,Villas de San Miguel,36119
Oaxaca,Santos Reyes Nopala,Barrio,Santa Cruz,71960
Chiapas,Escuintla,Colonia,El Rosario,30604
Veracruz de Ignacio de la Llave,Mariano Escobedo,Colonia,21 de Octubre,94420
Oaxaca,Santos Reyes Nopala,Barrio,Azteca,71960
Guanajuato,Celaya,Fraccionamiento,La Cantera,38115
Chiapas,Escuintla,Ejido,El Encuentro,30604
Veracruz de Ignacio de la Llave,Mariano Escobedo,Colonia,Del Valle,94420
Oaxaca,Santos Reyes Nopala,Barrio,El Naranjo,71960
Chiapas,Escuintla,Colonia,Buena Vista,30604
Jalisco,San Pedro Tlaquepaque,Colonia,Real Tulipanes,45610
Veracruz de Ignacio de la Llave,Mariano Escobedo,Colonia,Gloria Escondida,94420
Oaxaca,Santos Reyes Nopala,Barrio,San Antonio,71960
Durango,Tamazula,Pueblo,Carricitos,34587
Veracruz de Ignacio de la Llave,Ixhuatlancillo,Colonia,Ixhuatlancillo,94430
Chiapas,Escuintla,Colonia,Avicnia,30604
Veracruz de Ignacio de la Llave,Nogales,Unidad habitacional,2000,94720
Chiapas,Escuintla,Colonia,El Mango,30604
Veracruz de Ignacio de la Llave,Nogales,Colonia,Corregidora,94720
Veracruz de Ignacio de la Llave,Nogales,Colonia,Emiliano Zapata,94720
Chiapas,Escuintla,Colonia,Las Nubes,30605
Jalisco,Pihuamo,Pueblo,El Fresnal,49897
Veracruz de Ignacio de la Llave,Perote,Colonia,El Pedregal,91275
Veracruz de Ignacio de la Llave,Coatepec,Colonia,6 de Enero,91567
Jalisco,San Pedro Tlaquepaque,Fraccionamiento,Senderos de Tlaquepaque,45618
Chiapas,Escuintla,Colonia,Santa Rosa,30605
Chiapas,Escuintla,Colonia,La Esperanza,30605
Chiapas,Escuintla,Colonia,Llano Grande,30605
Veracruz de Ignacio de la Llave,Nogales,Colonia,Los Fresnos,94724
Chiapas,Escuintla,Colonia,Nueva Reforma,30605
Jalisco,Pihuamo,Colonia,Colorados,49870
Veracruz de Ignacio de la Llave,Nogales,Colonia,Guerrero,94724
Hidalgo,Tecozautla,Ejido,Las Granjas del Ejido de Tecozautla,42457
Jalisco,Pihuamo,Colonia,El Rastro,49870
Veracruz de Ignacio de la Llave,Nogales,Colonia,El Arenal,94724
Veracruz de Ignacio de la Llave,Angel R. Cabada,Barrio,Brujo,95844
Chiapas,Escuintla,Colonia,El Vergel,30606
Jalisco,Pihuamo,Colonia,La Gallinita,49870
Jalisco,Pihuamo,Colonia,Loma Bonita,49870
Jalisco,Pihuamo,Colonia,Magisterial,49870
Chiapas,Escuintla,Colonia,Buena Vista II,30605
Chiapas,Escuintla,Colonia,Paso del Norte,30606
Jalisco,Zacoalco de Torres,Colonia,Bugambilias,45753
Veracruz de Ignacio de la Llave,Angel R. Cabada,Colonia,Barrio Sur,95843
Chiapas,Escuintla,Colonia,Nueva Sonora,30606
Jalisco,Zacoalco de Torres,Colonia,Dorados de Villa,45753
Jalisco,Zacoalco de Torres,Colonia,Polillas de Zacoalco,45754
Chiapas,Escuintla,Colonia,Ojo de Agua I,30607
Chiapas,Escuintla,Colonia,El Arenal,30607
Veracruz de Ignacio de la Llave,Tampico Alto,Colonia,La Rivera,92043
Chiapas,Escuintla,Colonia,Santa Emilia,30607
Veracruz de Ignacio de la Llave,Emiliano Zapata,Colonia,La Calera,91639
Hidalgo,Tepeapulco,Colonia,Piedras Negras,43974
Veracruz de Ignacio de la Llave,Yecuatla,Colonia,Miguel Garcia,93918
Chiapas,Escuintla,Colonia,El Horizonte,30607
Hidalgo,Tepeapulco,Colonia,14 de Febrero,43975
Guanajuato,Valle de Santiago,Colonia,Las Fuentes,38404
Hidalgo,Tepeapulco,Colonia,El Magueyal,43975
Guanajuato,Irapuato,Fraccionamiento,La Virgen,36584
Chiapas,Escuintla,Ejido,Malvinas,30607
Hidalgo,Tepeapulco,Colonia,20 de Noviembre,43987
Guanajuato,Irapuato,Fraccionamiento,Haciendas de Santiago,36557
Chiapas,Escuintla,Colonia,Las Vegas,30613
Hidalgo,Tepeapulco,Colonia,El Magueyal (Las Palomas),43987
Guanajuato,Salamanca,Fraccionamiento,Las Misiones,36784
Chiapas,Escuintla,Colonia,El Jobal,30613
Chiapas,Escuintla,Colonia,Santa Isabel,30613
Chiapas,Escuintla,Colonia,Francisco Villa,30615
Guanajuato,Salamanca,Colonia,Jardines de la Fortaleza,36759
Chiapas,Escuintla,Colonia,Llano Grande Palestina,30615
Hidalgo,Tepeapulco,Colonia,El Mirto,43987
Guanajuato,Irapuato,Fraccionamiento,Puerta de Hierro,36640
Guanajuato,Abasolo,Colonia,Hacienda del Potrero,36975
Chiapas,Escuintla,Colonia,San Lucas,30614
Chiapas,Escuintla,Colonia,San Benito,30614
Chiapas,Escuintla,Colonia,Montahua,30614
Sonora,Cajeme,Ejido,La Quince,85209
Chiapas,Escuintla,Ejido,Palo Blanco,30617
Hidalgo,Tepeapulco,Colonia,La Hermita,43987
Chiapas,Escuintla,Barrio,Santo Domingo,30600
Chiapas,Escuintla,Barrio,Santa Cruz,30600
Sonora,Cajeme,Ejido,La Rabia,85214
Chiapas,Escuintla,Colonia,El Carmen,30600
Veracruz de Ignacio de la Llave,Papantla,Barrio,Barrio de San Juan,93449
Chiapas,Escuintla,Barrio,Cristo Rey,30600
Veracruz de Ignacio de la Llave,Papantla,Fraccionamiento,La Florida,93413
Chiapas,Escuintla,Fraccionamiento,FONHAPO,30600
Chiapas,Escuintla,Fraccionamiento,Nuevo Milenio,30600
Veracruz de Ignacio de la Llave,Papantla,Fraccionamiento,Santa Cecilia,93413
Sonora,Cajeme,Ejido,La Realidad,85203
Chiapas,Escuintla,Colonia,Jubileo 2000,30600
Chihuahua,Delicias,Pueblo,Alta Vista,33115
Chiapas,Escuintla,Colonia,El Manantial,30600
Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,Unidad habitacional,San Felipe,93228
